PM10;SO2;CO;O3;NO2;Output
31;86;0;45;5;1
26;84;0;40;5;1
21;83;0;29;4;1
19;80;0;27;3;1
19;80;0;53;4;1
12;81;0;69;3;1
12;80;0;0;1;1
21;80;0;0;4;1
23;82;0;0;4;1
31;81;0;0;4;1
15;80;0;0;2;1
11;79;0;0;3;1
6;80;0;0;3;1
16;80;0;0;4;1
31;81;0;0;4;1
32;80;0;77;6;1
44;80;0;77;9;1
35;81;0;69;6;1
40;81;0;57;5;1
38;82;0;68;4;1
30;78;0;81;6;1
38;79;0;81;7;1
46;79;0;98;7;1
53;78;0;95;7;0
56;78;0;73;8;1
51;78;0;84;5;1
52;79;0;78;6;0
40;81;0;70;4;1
41;79;0;75;5;1
55;86;0;73;3;1
42;80;0;72;5;1
70;80;0;83;6;1
97;81;1;83;10;1
147;83;1;72;8;1
67;80;0;60;7;1
125;81;1;81;7;1
147;83;1;64;6;0
157;84;1;54;7;1
173;86;1;52;8;0
158;85;1;60;6;0
176;84;1;54;5;0
351;87;3;26;2;0
267;95;2;30;2;0
166;86;1;51;7;0
113;86;1;46;6;1
131;87;1;53;4;0
248;87;1;68;7;1
297;90;2;68;6;0
320;92;2;70;6;0
328;94;2;48;5;0
231;91;1;46;5;0
282;92;2;49;6;0
288;92;2;56;5;0
275;92;2;38;6;0
219;91;2;41;6;0
191;89;1;56;7;0
232;88;1;63;7;0
275;89;2;68;6;0
325;92;2;69;6;0
369;95;2;56;5;0
493;88;3;46;3;0
387;94;2;59;4;0
327;98;2;76;10;0
465;100;3;65;8;0
486;107;5;49;3;0
617;122;5;54;4;0
323;112;2;53;8;0
169;103;1;51;4;0
74;99;1;60;5;1
44;93;0;57;7;1
0;58;0;56;6;1
0;34;0;62;8;1
0;30;0;60;8;1
0;29;0;67;10;1
0;29;0;102;11;1
0;32;1;88;11;1
142;31;1;86;12;1
123;31;1;87;12;1
161;33;1;93;11;0
101;30;1;67;11;1
122;28;1;78;11;1
73;29;0;60;10;1
35;29;0;65;10;1
25;27;0;81;11;1
50;38;1;54;15;1
20;29;0;50;11;1
7;25;0;37;8;1
16;26;0;36;8;1
24;26;0;45;10;1
21;26;0;46;9;1
50;26;0;48;11;1
25;26;0;42;10;1
21;25;0;34;8;1
22;25;0;40;8;1
18;25;0;38;9;1
35;27;0;42;10;1
35;26;0;45;10;1
17;26;0;41;8;1
24;26;0;43;9;1
33;25;0;46;11;1
49;26;0;68;12;1
26;26;0;44;11;1
19;26;0;50;10;1
25;26;0;41;10;1
30;26;0;45;12;1
31;26;0;45;12;1
33;25;0;52;11;1
12;24;0;41;10;1
8;24;0;46;10;1
11;24;0;40;9;1
21;25;0;36;11;1
20;25;0;40;10;1
0;25;0;45;11;1
0;24;0;45;10;1
0;25;0;39;11;1
0;25;0;44;10;1
0;26;0;47;12;1
24;26;0;38;10;1
29;28;0;53;10;1
21;26;0;48;10;1
15;26;0;47;11;1
12;25;0;42;10;1
20;25;0;38;8;1
12;24;0;39;9;1
14;24;0;45;11;1
5;23;0;39;9;1
21;24;0;50;11;1
19;24;0;40;9;1
12;24;0;35;11;1
10;25;0;28;10;1
9;24;0;32;10;1
15;24;0;30;10;1
13;24;0;42;10;1
11;23;0;40;10;1
